breeding_season,nGroups_RecruitmentAnalyses,nGroups_SurvivalAnalyses,meanDomPregnancies,meanDomLitters,meanSubPregnancies_percapita,meanSubLitters,meanPupsEmerged,meanPupsRecruited,meanPupSurvival,overallPupSurvival,meanNonPupSurvival,overallNonpupSurvival,meanJuvSurvival,overallJuvSurvival,meanSubAdultSurvival,overallSubAdultSurvival,meanJuvSubAdultSurvival,overallJuvSubAdultSurvival,meanAdultSurvival,overallAdultSurvival,meanEmigration_percapita,meanMaleEmigration_percapita,meanFemaleEmigration_percapita,meanImmigation_males
1998/1999,8,8,3.25,2.125,0.713690476,1,10.5,9,0.869700092,0.857142857,0.892857143,0.88,0.875,0.894736842,0.797619048,0.789473684,0.842857143,0.842105263,0.911458333,0.903225806,0.35,0.36875,0.290178571,0
1999/2000,8,10,3.75,2.875,0.424107143,1.75,14.75,13.375,0.905381944,0.906779661,0.768056408,0.807142857,0.780952381,0.833333333,0.873809524,0.861111111,0.858664021,0.848484848,0.754444444,0.77027027,0.302474747,0.257142857,0.307142857,0.1
2000/2001,9,9,3.444444444,2.555555556,0.568213885,0.666666667,12.44444444,11.77777778,0.93042328,0.946428571,0.858482157,0.867021277,0.927777778,0.9375,0.843783069,0.847457627,0.885093626,0.887850467,0.827970389,0.839506173,0.216276803,0.293265993,0.111111111,0
2001/2002,10,10,3.4,2.3,0.699050802,1.2,13.5,11.6,0.884877978,0.859259259,0.930344005,0.938016529,0.939285714,0.903225806,0.898148148,0.879310345,0.886014911,0.887640449,0.939534314,0.967320261,0.423516394,0.41702381,0.426341991,0.8
2002/2003,9,11,2.777777778,2.555555556,0.549992369,0.777777778,11.77777778,10.11111111,0.835088985,0.858490566,0.864524842,0.853383459,0.826215278,0.846153846,0.852489177,0.813559322,0.850280999,0.828828829,0.864937024,0.870967742,0.263932859,0.241991342,0.27020202,0
2003/2004,11,12,3.272727273,2,0.357792208,0.636363636,9,7.727272727,0.865692641,0.858585859,0.815357013,0.835205993,0.716666667,0.590909091,0.874206349,0.879310345,0.809881554,0.8,0.806820345,0.85026738,0.472138063,0.422222222,0.47728429,0
2004/2005,11,11,3.454545455,2.272727273,0.623058314,1.272727273,11.18181818,9.636363636,0.899547675,0.861788618,0.807232235,0.806818182,0.921356421,0.915254237,0.802083333,0.80952381,0.892483274,0.8875,0.737216319,0.739583333,0.204630723,0.11489899,0.22965368,0
2005/2006,12,14,3.5,2.25,0.561516955,1.25,12.5,10.75,0.849116046,0.86,0.796935304,0.817427386,0.823626374,0.84,0.775,0.85,0.812079191,0.845454545,0.775320513,0.79389313,0.285038573,0.311394558,0.217346939,0.285714286
2006/2007,13,14,2.538461538,1.384615385,0.487834388,0.538461538,7.615384615,5.615384615,0.712964813,0.737373737,0.733245833,0.767527675,0.733928571,0.8,0.761782662,0.803030303,0.751560741,0.801587302,0.730636114,0.737931034,0.185204082,0.230465368,0.094871795,0.428571429
2007/2008,8,9,2.875,1.625,0.360416667,0.625,6.5,5.625,0.883928571,0.865384615,0.856080031,0.847133758,0.933333333,0.9,0.851190476,0.772727273,0.855208333,0.8125,0.853042328,0.856,0.384854497,0.447222222,0.346825397,0.333333333
2008/2009,10,11,3.3,2.7,0.698333333,0.8,12.8,11.8,0.925952381,0.921875,0.786701534,0.776859504,0.826719577,0.828571429,0.6,0.642857143,0.760714286,0.775510204,0.799350649,0.777777778,0.162337662,0.102272727,0.159090909,0.545454545
2009/2010,11,13,3.727272727,2.909090909,0.34069592,0.636363636,12.90909091,11.72727273,0.913270338,0.908450704,0.846195132,0.838565022,0.777777778,0.760869565,0.853663004,0.873417722,0.830885781,0.832,0.841835452,0.846938776,0.27248797,0.175694444,0.267094017,0
2010/2011,12,12,3.083333333,2.166666667,0.342063492,0.833333333,12.83333333,10.91666667,0.842494855,0.850649351,0.861386785,0.857142857,0.860606061,0.88372093,0.853236915,0.84,0.846118234,0.855932203,0.856458139,0.858108108,0.366050929,0.304265873,0.377200577,0
2011/2012,13,13,2.285714286,1.428571429,0.543197279,1.142857143,9.571428571,6.642857143,0.680105014,0.694029851,0.880806112,0.893992933,0.85,0.85915493,0.881283069,0.86,0.846851102,0.859504132,0.90540293,0.919753086,0.168711844,0.212047995,0.099175824,0.538461538
2012/2013,13,15,2.769230769,1.076923077,0.298725349,0.307692308,3.615384615,1.923076923,0.554395604,0.531914894,0.716135859,0.761904762,0.744047619,0.736842105,0.82962963,0.851851852,0.737414966,0.784615385,0.71163286,0.754807692,0.222721208,0.2598779,0.155555556,0.333333333
2013/2014,12,13,4.166666667,2.166666667,0.664763709,1.25,11.91666667,9.416666667,0.726752646,0.79020979,0.740035612,0.762711864,NA,NA,0.6875,0.6875,0.6875,0.6875,0.750850225,0.770186335,0.424002732,0.412354312,0.306166056,0.846153846
2014/2015,12,15,3.666666667,1.666666667,0.917857143,0.833333333,10.91666667,7.583333333,0.69463358,0.694656489,0.7309729,0.73015873,0.701428571,0.657142857,0.739583333,0.785714286,0.704218559,0.705357143,0.773703704,0.766233766,0.233703704,0.172222222,0.178571429,0.066666667
2015/2016,12,14,3.333333333,1.916666667,0.74156746,0.916666667,9.25,5.416666667,0.579784105,0.585585586,0.652891182,0.663212435,0.555555556,0.612903226,0.621794872,0.634146341,0.581431664,0.625,0.670274713,0.685950413,0.441775705,0.528296703,0.226190476,0.142857143
2016/2017,7,10,3.428571429,1.857142857,0.720039683,1.285714286,15.42857143,13.14285714,0.838039761,0.851851852,0.593498168,0.602272727,0.614285714,0.6,0.666666667,0.625,0.531547619,0.606060606,0.602142857,0.6,0.327142857,0.26,0.31047619,0.9
2017/2018,8,8,4.125,1.75,0.340367965,0.625,10.375,6.625,0.702168318,0.638554217,0.825137138,0.810810811,0.785714286,0.794117647,0.78125,0.80952381,0.768469888,0.802631579,0.869047619,0.828571429,0.164285714,0.239583333,0.0625,0.125
2018/2019,9,10,2.888888889,2.111111111,0.578703704,0.555555556,13.55555556,8.888888889,0.68585325,0.655737705,0.685581169,0.708955224,0.708333333,0.692307692,0.611111111,0.75,0.679047619,0.705882353,0.691956976,0.710843373,0.366455723,0.405555556,0.228968254,0
2019/2020,7,8,3.142857143,2.428571429,0.531292517,0.428571429,13.42857143,10.14285714,0.767882775,0.755319149,0.852041161,0.833333333,0.819642857,0.777777778,0.91,0.882352941,0.86947601,0.811320755,0.854513889,0.852459016,0.387053571,0.502083333,0.208333333,0
2020/2021,8,8,2.666666667,1.888888889,0.219708995,0.555555556,12.33333333,10.11111111,0.801073464,0.81981982,0.765384013,0.768115942,0.873809524,0.85,0.847619048,0.821428571,0.848214286,0.838235294,0.69433171,0.7,0.337418831,0.313095238,0.322916667,0
2021/2022,10,12,2.9,2.1,0.284294872,1.1,10.4,8.1,0.765424488,0.778846154,0.824195098,0.828125,0.798333333,0.784313725,0.922916667,0.911764706,0.857721319,0.835294118,0.804825036,0.822429907,0.31579786,0.35,0.258333333,0
2022/2023,8,12,3.125,1.625,0.543235931,1.125,10.125,8.25,0.827516968,0.814814815,0.754035417,0.774725275,0.727272727,0.75,0.569444444,0.724137931,0.734490741,0.740740741,0.755348124,0.801980198,0.264574315,0.306547619,0.136363636,0
