Year,breeding_season,season_startdate,growingseason_start_mean,growingseason_end_mean,growingseason_peak_mean,growingseason_length_mean,SI_NDVI_mean,LI_NDVI_mean,growingseason_start_SD,growingseason_end_SD,growingseason_peak_SD,growingseason_length_SD,SI_NDVI_SD,LI_NDVI_SD,growingseason_start_mean_yday,growingseason_end_mean_yday,growingseason_peak_mean_yday,AnnualRainfall_GPCP,AnnualRainfall_NOAA,AnnualRainfall_Onsite
2000,2000/2001,11/07/2000,228.2467272,397.9227126,311.2567869,169.6759854,0.524231241,2.896158021,29.54486323,25.57032272,12.3543671,36.0365891,0.160688182,0.571950027,55,224,138,328.33,227.067593,422.68
2001,2001/2002,11/07/2001,137.0379294,374.7701836,248.9561723,237.7322541,0.915523142,4.007111458,25.02263189,29.28790338,16.81278609,31.12025862,0.173051481,0.453794398,329,201,75,284.58,196.8853407,321.25
2002,2002/2003,11/07/2002,166.6546355,406.2101344,260.5368915,239.5554988,0.449104205,3.258733827,22.10809725,28.7592843,25.87086599,37.87023271,0.123094031,0.441976204,358,233,87,149.88,154.1938773,205.2
2003,2003/2004,11/07/2003,172.3523516,403.0019367,268.61021,230.6495851,0.572421212,3.267302017,12.53678304,19.72074878,32.01732052,21.77627235,0.134807354,0.288826417,364,230,95,208.67,227.640108,235.4
2004,2004/2005,11/07/2004,168.7832962,432.8883139,281.986402,264.1050176,0.781245759,3.849641175,25.708903,39.59626775,20.28056304,47.66621706,0.160359359,0.539426626,361,259,108,299.89,302.5942584,286.15
2005,2005/2006,11/07/2005,193.1959463,336.6210888,251.0781176,143.4251425,1.150169979,3.016147479,5.501535606,12.42649161,8.959676456,13.38038814,0.297858703,0.325707362,20,163,78,373.15,254.1167166,399.28
2006,2006/2007,11/07/2006,139.8514856,387.4977572,262.3884029,247.6462716,0.371296921,3.094689402,47.92914639,38.37854578,41.64430322,56.34054895,0.208023926,1.245250203,331,214,89,162.31,152.0434725,184.4
2007,2007/2008,11/07/2007,161.564625,342.0649047,230.2462731,180.5002796,1.095583074,3.304002185,12.69062205,22.50320918,12.21446044,21.05522829,0.266372346,0.3330526,353,169,57,312.18,267.3289737,298.5
2008,2008/2009,11/07/2008,193.6508618,371.0959058,263.2130783,177.445044,0.700257314,2.838638213,17.9127043,28.54034178,12.11233856,31.95865226,0.151294947,0.387257171,20,198,90,312.37,301.3203629,300
2009,2009/2010,11/07/2009,171.4465239,368.9106343,242.9512768,197.4641103,0.854050645,3.155030283,9.712625155,30.8707319,13.14548886,32.25937169,0.216651662,0.363896231,363,195,69,325.13,300.374761,483.200251
2010,2010/2011,11/07/2010,185.4098119,345.8639339,248.354371,160.454122,1.489399132,3.533135307,9.478905944,15.52821616,12.78950494,16.64380142,0.371201769,0.39035029,12,172,75,413.82,288.5119683,444.800136
2011,2011/2012,11/07/2011,177.8254305,366.1734698,241.229279,188.3480393,0.76067437,3.118232647,17.27198717,21.75722694,11.21800742,27.86693508,0.181494372,0.309876571,4,193,68,264.63,258.8523652,231.400034
2012,2012/2013,11/07/2012,253.9276193,430.4516796,329.684805,176.5240603,0.169515246,1.577286022,39.82891286,30.98161903,10.25007572,51.09811874,0.150921346,1.218497259,80,257,156,174.21,148.3006644,114.999994
2013,2013/2014,11/07/2013,190.7640586,385.798928,273.5633771,195.0348695,0.89601856,3.176412145,25.45699351,30.76902053,16.85008053,37.26768629,0.20277942,0.414412194,17,212,100,266.65,254.7029721,226.400116
2014,2014/2015,11/07/2014,254.938504,476.5400104,321.0947009,221.6015064,0.394302362,2.640850471,14.60009881,32.95075893,14.96053961,34.70674951,0.200795647,0.963785501,81,303,148,172.16,150.275382,176.199993
2015,2015/2016,11/07/2015,234.4912583,436.0623725,300.9662588,201.5711141,0.645723067,3.02884725,11.46938732,49.32909594,19.6412692,48.9917565,0.210550083,0.623492703,61,263,127,217.35,225.6616987,199.800139
2016,2016/2017,11/07/2016,192.6364226,386.4793298,245.7344885,193.8429072,1.133353779,3.465893341,8.854554609,38.78304883,9.284282422,39.9470194,0.25401045,0.461155719,19,213,72,231.03,241.0097538,309.600028
2017,2017/2018,11/07/2017,235.4681343,390.6263604,292.4032448,155.1582261,0.698283687,2.566036051,7.002686751,25.09575582,7.366611139,26.65900604,0.165444418,0.291373015,62,217,119,355.09,195.8907531,194.399931
2018,2018/2019,11/07/2018,238.5237754,412.376329,301.5763057,173.8525536,0.465602259,2.486759862,19.76302988,28.10424722,10.53348865,32.752807,0.184170561,0.525563417,65,239,128,119.63,96.89740456,139.200046
2019,2019/2020,11/07/2019,173.6175991,350.1528167,242.5461569,176.5352175,0.644948355,2.695684931,23.87572797,43.91526438,31.89097234,43.71051913,0.256231729,0.514117776,365,177,69,222.12,178.4751612,151.399955
2020,2020/2021,11/07/2020,150.9960565,327.1244057,207.2311669,176.1283492,1.333758685,3.40404803,8.916423415,20.89057204,14.935113,20.00026597,0.264277018,0.352431763,343,154,34,409.67,453.5218397,309.200007
2021,2021/2022,11/07/2021,161.64883,343.240348,232.3966586,181.5915181,1.263890367,3.429405232,10.06796972,12.24634999,11.66433526,15.96218956,0.248433999,0.32781599,353,170,59,401.62,325.5406108,705.400294
2022,2022/2023,11/07/2022,135.5632647,385.5391199,248.806058,249.9758551,1.225194539,4.142400124,29.13463113,32.89279423,10.18831965,46.76329574,0.20452177,0.589700717,327,212,75,117.28,75.45300032,281.199993
